#Table: J/A+A/584/A91/tablea2.dat (http://cdsarc.cds.unistra.fr)
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   |               |                       |       |       |     |    |    |  e|     |     |     |     |     |     |    |            |
   |               | R  R         D  D     |       |       |     | e_M|   T|_Td|   NH|     |    N|   nH|     |    n| alp|            |
Seq|Name           |Ah Am   RAs  Ed Em  DEs|     Rd|   Robs|Mcore|core|dust|ust|2peak|NH2av|H2avd|2peak|nH2av|H2avd|haBE|Coretype    |Com
---|---------------|-----------------------|-------|-------|-----|----|----|---|-----|-----|-----|-----|-----|-----|----|------------|--------------------------------------------
 48|182633.0-034415|18 26 33.01 -03 44 15.0|6.9e-02|7.4e-02| 0.61|0.31|11.5|4.5|  2.8|  1.3|  1.5|  1.0|  0.4|  0.5| 2.2|prestellar  |no SED fit   tentative bound
 49|182641.0-033626|18 26 41.00 -03 36 26.7|1.8e-02|2.9e-02| 0.15|0.09|10.3|1.3|  3.5|  2.2|  5.6|  2.1|  1.6|  6.7| 2.3|prestellar  |             tentative bound
 50|182642.9-032851|18 26 42.90 -03 28 51.2|2.0e-02|3.2e-02| 0.47|0.23| 9.2|0.9|  7.1|  5.5| 14.2|  4.3|  3.8| 15.8| 0.8|prestellar  |
 51|182644.1-032606|18 26 44.11 -03 26 06.9|2.8e-02|4.1e-02| 0.21|0.11|11.5|4.5|  2.4|  1.5|  3.3|  1.3|  0.8|  2.6| 2.6|prestellar  |no SED fit   tentative bound
 52|182644.1-040143|18 26 44.14 -04 01 43.9|4.7e-02|5.3e-02| 0.17|0.09|11.5|4.5|  1.8|  0.7|  0.9|  0.8|  0.3|  0.4| 5.3|starless    |no SED fit
 53|182705.3-025212|18 27 05.36 -02 52 12.6|3.9e-02|4.5e-02| 0.33|0.05|13.5|0.6|  4.7|  1.9|  2.6|  2.4|  0.9|  1.5| 2.3|prestellar  |             tentative bound
 54|182707.0-025033|18 27 07.09 -02 50 33.8|3.3e-02|4.0e-02| 0.15|0.12|12.3|2.5|  2.4|  1.1|  1.7|  1.3|  0.6|  1.1| 4.2|starless    |
 55|182713.3-034014|18 27 13.38 -03 40 14.6|1.5e-02|2.7e-02| 0.03|0.01|16.9|3.7|  0.8|  0.4|  1.3|  0.5|  0.4|  1.8|11.9|protostellar|
 56|182714.2-034441|18 27 14.23 -03 44 41.1|2.6e-02|3.5e-02| 0.37|0.32| 9.1|1.6|  6.0|  3.5|  6.7|  3.4|  2.2|  5.7| 1.4|prestellar  |
 57|182720.7-035109|18 27 20.74 -03 51 09.4|2.7e-02|4.1e-02| 0.18|0.12|10.6|1.6|  2.5|  1.2|  2.9|  1.3|  0.6|  2.3| 3.0|prestellar  |             tentative bound
