seq,name,R_deconv_pc,R_obs_pc,M_core_msun,M_core_err_msun,T_dust_K,T_dust_err_K,N_H2_peak_cm2,N_H2_av_cm2,N_H2_avd_cm2,n_H2_peak_cm3,n_H2_av_cm3,n_H2_avd_cm3,alpha_BE,core_type,no_sed_fit,tentative_bound,co_high_vlsr
439,183112.4-020237,0.017,0.028,0.38,0.08,16.4,0.9,7.6e+21,5.5e+21,1.53e+22,47000,43000,196000,0.9,prestellar,0,0,0
440,183112.5-021938,0.053,0.06,0.58,0.11,14.3,0.8,5.7e+21,1.9e+21,2.4e+21,24000,7000,10000,1.8,prestellar,0,0,0
441,183113.2-020207,0.022,0.033,0.26,0.11,16.6,4.4,4.9e+21,2.8e+21,6e+21,29000,19000,59000,1.7,prestellar,0,0,0
442,183114.0-020936,0.027,0.036,0.66,0.28,10.7,1,1.29e+22,6.1e+21,1.04e+22,73000,37000,83000,0.8,prestellar,0,0,0
443,183114.1-021605,0.011,0.024,0.02,0.01,16.4,2,7e+20,5e+20,1.9e+21,5000,4000,37000,10.5,starless,0,0,0
444,183114.3-020721,0.012,0.025,0.4,0.1,20,1.4,3.08e+22,7.4e+21,3.44e+22,199000,64000,646000,0.6,prestellar,0,0,0
445,183114.9-022312,0.033,0.041,0.54,0.17,9.9,0.7,1.03e+22,3.9e+21,5.8e+21,55000,21000,38000,1.2,prestellar,0,0,0
446,183116.6-020151,0.021,0.032,0.03,0.02,27.7,1,5e+20,3e+20,7e+20,3000,2000,8000,15.2,starless,0,0,0
447,183116.7-020709,0.02,0.031,4.41,2.2,14.5,4.5,7.3e+22,5.36e+22,1.286e+23,439000,376000,1.398e+06,0.1,prestellar,1,0,0
448,183117.4-020051,0.022,0.034,0.03,0.01,20.2,3,6e+20,3e+20,7e+20,4000,2000,7000,15.4,starless,0,0,0
449,183117.6-023012,0.035,0.043,0.13,0.06,14,1.8,2e+21,8e+20,1.2e+21,11000,4000,8000,5.5,starless,0,0,0
450,183118.4-021808,0.012,0.025,0.04,0.02,14.3,1.7,1e+21,8e+20,3.1e+21,6000,7000,57000,6.2,starless,0,0,0
451,183118.5-021459,0.014,0.026,0.37,0.07,12.1,0.5,8.7e+21,6.6e+21,2.22e+22,56000,56000,345000,0.8,prestellar,0,0,0
452,183118.6-011809,0.052,0.057,0.22,0.1,12.1,1.7,3.3e+21,8e+20,1e+21,15000,3000,4000,4.7,starless,0,0,0
453,183119.5-020932,0.016,0.028,0.1,0.03,21.5,1.7,1.8e+21,1.6e+21,4.7e+21,11000,13000,63000,3.1,prestellar,0,1,0
454,183119.6-015803,0.02,0.033,0.05,0.02,17.9,2.4,2.1e+21,5e+20,1.4e+21,12000,4000,15000,8.2,starless,0,0,0
455,183120.2-021122,0.057,0.063,0.33,0.02,32.1,0.4,3.2e+21,1e+21,1.2e+21,13000,3000,4000,3.5,starless,0,0,0
456,183120.7-020014,0.016,0.029,0.28,0.04,15.5,0.6,6.9e+21,4e+21,1.28e+22,43000,31000,176000,1.1,prestellar,0,0,0
457,183120.7-023350,0.018,0.03,0.06,0.03,12.7,1.5,7e+20,8e+20,2e+21,5000,6000,25000,6.3,starless,0,0,0
458,183120.8-015923,0.023,0.033,0.41,0.1,12.5,0.6,7.1e+21,4.5e+21,9.4e+21,42000,30000,91000,1.1,prestellar,0,0,0
459,183121.1-020619,0.02,0.031,2.96,0.46,18.6,3.6,4.18e+22,3.63e+22,8.65e+22,252000,256000,940000,0.1,protostellar,0,0,0
460,183122.1-015836,0.024,0.033,0.45,0.18,11.4,1.1,1.23e+22,4.9e+21,9.7e+21,72000,32000,91000,1,prestellar,0,0,0
461,183122.6-020137,0.03,0.038,0.14,0.05,15,1.2,2.7e+21,1.1e+21,1.8e+21,15000,6000,13000,4.4,starless,0,0,0
462,183122.9-021718,0.04,0.047,0.75,0.63,11.1,2.5,1.1e+22,4.1e+21,5.7e+21,55000,19000,31000,1,prestellar,0,0,0
463,183123.3-020845,0.018,0.031,0.18,0.04,20.6,1.3,4.1e+21,2.3e+21,6.3e+21,25000,16000,75000,2,prestellar,0,1,0
464,183123.4-021436,0.033,0.041,0.42,0.1,15.3,1.1,3.5e+21,3e+21,4.4e+21,19000,16000,29000,1.6,prestellar,0,0,0
465,183123.4-021629,0.017,0.028,0.1,0.03,13.8,0.9,3.3e+21,1.5e+21,4.2e+21,20000,12000,53000,3.3,prestellar,0,1,0
466,183123.7-015619,0.035,0.045,1.44,0.39,11.4,0.5,2.36e+22,8.5e+21,1.41e+22,120000,41000,89000,0.5,prestellar,0,0,0
467,183124.2-020754,0.013,0.025,0.03,0.01,25.3,4,8e+20,5e+20,1.9e+21,5000,4000,32000,9.7,starless,0,0,0
468,183124.5-015747,0.021,0.034,0.36,0.04,16.5,0.6,9e+21,3.7e+21,9.6e+21,52000,24000,100000,1.2,prestellar,0,0,0
469,183125.1-021415,0.018,0.03,0.2,0.05,14.4,0.9,3.3e+21,2.7e+21,7.1e+21,20000,20000,87000,1.8,prestellar,0,0,0
470,183125.9-021703,0.025,0.034,0.13,0.08,12.6,1.4,4.7e+21,1.3e+21,2.4e+21,28000,9000,21000,3.8,prestellar,0,1,0
471,183127.2-043437,0.1,0.1,1.67,0.93,10.4,1.4,4.6e+21,1.9e+21,2e+21,13000,4000,4000,1.2,prestellar,0,0,0
472,183127.9-015914,0.031,0.039,0.04,0.03,16.2,3.8,1.1e+21,3e+20,5e+20,6000,2000,3000,15.9,starless,0,0,0
473,183127.9-021600,0.019,0.031,0.66,0.33,14.5,4.5,3.69e+22,8.1e+21,2.23e+22,223000,57000,262000,0.6,prestellar,1,0,0
