seq,name,R_deconv_pc,R_obs_pc,M_core_msun,M_core_err_msun,T_dust_K,T_dust_err_K,N_H2_peak_cm2,N_H2_av_cm2,N_H2_avd_cm2,n_H2_peak_cm3,n_H2_av_cm3,n_H2_avd_cm3,alpha_BE,core_type,no_sed_fit,tentative_bound,co_high_vlsr
119,182830.7-034348,0.015,0.026,0.06,0.03,11.5,4.5,8e+20,1e+21,3.2e+21,5000,9000,47000,4.9,starless,1,0,0
120,182830.9-034733,0.087,0.091,5.81,1.6,8.6,0.5,1.98e+22,8.4e+21,9e+21,61000,20000,23000,0.3,prestellar,0,0,0
121,182831.7-034158,0.038,0.044,1.03,0.44,8.1,0.7,9.4e+21,6.2e+21,8.5e+21,48000,31000,49000,0.7,prestellar,0,0,0
122,182831.8-013957,0.013,0.025,0.13,0.06,11.5,4.5,1.7e+21,2.4e+21,8.4e+21,11000,21000,138000,2.1,prestellar,1,1,0
123,182832.0-015356,0.062,0.067,10.15,1.54,8.4,0.3,3.11e+22,2.73e+22,3.1e+22,122000,90000,109000,0.1,prestellar,0,0,0
124,182832.2-013353,0.036,0.043,0.18,0.09,11.4,1.4,4.4e+21,1.2e+21,1.7e+21,23000,6000,10000,3.8,prestellar,0,1,0
125,182838.4-013424,0.018,0.029,0.08,0.04,11.5,4.5,1.1e+21,1.1e+21,2.9e+21,7000,8000,35000,4.5,prestellar,1,1,0
126,182839.9-015234,0.042,0.049,0.13,0.07,11.5,4.5,1.7e+21,6e+20,9e+20,8000,3000,5000,6.3,starless,1,0,0
127,182841.2-013636,0.026,0.038,0.16,0.08,11.5,4.5,2.6e+21,1.3e+21,2.8e+21,14000,7000,24000,3.2,prestellar,1,1,0
128,182844.0-012954,0.037,0.044,1.84,0.6,7.5,0.5,2e+22,1.13e+22,1.6e+22,103000,56000,95000,0.4,prestellar,0,0,0
129,182844.3-012829,0.058,0.062,2.12,0.45,10.1,0.5,2.05e+22,6.5e+21,7.5e+21,84000,23000,29000,0.5,prestellar,0,0,0
130,182845.8-014114,0.023,0.033,0.08,0.04,11.5,4.5,1.1e+21,9e+20,1.7e+21,6000,6000,16000,5.8,starless,1,0,0
131,182846.7-013749,0.02,0.031,0.4,0.11,11.5,0.5,1.19e+22,4.8e+21,1.15e+22,71000,34000,123000,1,prestellar,0,0,0
132,182847.2-012738,0.07,0.074,5,1.05,8.9,0.4,1.91e+22,1.1e+22,1.22e+22,69000,33000,38000,0.3,prestellar,0,0,0
133,182847.7-014205,0.044,0.051,0.17,0.12,14.2,2.9,2.9e+21,8e+20,1e+21,14000,3000,5000,5.1,starless,0,0,0
134,182847.9-034632,0.041,0.048,0.34,0.2,10.6,1.4,3.5e+21,1.8e+21,2.4e+21,17000,8000,13000,2.4,prestellar,0,1,0
135,182848.0-013811,0.014,0.026,0.22,0.04,14.7,0.9,6.8e+21,3.8e+21,1.32e+22,43000,32000,208000,1.3,protostellar,0,0,0
136,182849.7-014806,0.06,0.065,0.94,0.28,11.6,1,9.9e+21,2.7e+21,3.1e+21,40000,9000,11000,1.3,prestellar,0,0,0
137,182851.9-004827,0.086,0.09,0.39,0.07,13.3,0.6,1.6e+21,6e+20,6e+20,5000,1000,2000,4.4,starless,0,0,0
138,182853.9-020249,0.019,0.03,0.07,0.02,16.5,1.6,1.4e+21,1e+21,2.5e+21,9000,7000,30000,5,starless,0,0,0
139,182856.6-020333,0.072,0.075,0.41,0.15,15.9,1.6,2.1e+21,9e+20,9e+20,8000,2000,3000,3.5,starless,0,0,0
140,182857.1-011953,0.034,0.042,0.3,0.19,10.5,1.5,5.4e+21,2e+21,3e+21,28000,10000,19000,2.2,prestellar,0,1,0
141,182857.2-014323,0.03,0.041,1.42,0.64,8.5,0.7,1.89e+22,1e+22,1.86e+22,101000,54000,136000,0.4,prestellar,0,0,0
142,182857.9-014207,0.029,0.037,0.63,0.3,10.4,0.8,1.34e+22,5.4e+21,9.2e+21,75000,32000,70000,0.9,prestellar,0,0,0
143,182858.3-014820,0.032,0.04,0.11,0.06,11.5,4.5,1.5e+21,8e+20,1.3e+21,8000,5000,9000,5.7,starless,1,0,0
144,182859.1-025746,0.086,0.089,0.93,0.38,13.4,1.5,3e+21,1.4e+21,1.5e+21,9000,3000,4000,1.8,prestellar,0,0,0
145,182859.4-020430,0.019,0.031,0.13,0.07,12.2,1.3,2.3e+21,1.6e+21,4.3e+21,14000,11000,49000,2.8,prestellar,0,1,0
146,182859.4-014437,0.033,0.043,0.39,0.17,11,1.1,8.5e+21,2.5e+21,4.2e+21,44000,13000,28000,1.7,prestellar,0,0,0
147,182900.0-014242,0.014,0.026,0.39,0.98,10.4,1.1,1.12e+22,7.1e+21,2.33e+22,72000,60000,360000,0.7,protostellar,0,0,0
148,182901.5-020746,0.016,0.028,0.08,0.05,13.8,2.1,1.8e+21,1.3e+21,3.7e+21,12000,10000,50000,4,prestellar,0,1,0
149,182902.8-014744,0.029,0.04,0.19,0.09,11.8,1.4,4e+21,1.4e+21,2.7e+21,22000,8000,20000,3,prestellar,0,1,0
150,182903.0-020400,0.021,0.031,0.03,0.02,17.1,2.5,5e+20,4e+20,8e+20,3000,2000,9000,14.3,starless,0,0,0
151,182903.6-013903,0.014,0.026,1.07,0.09,13.3,0.3,2.45e+22,1.94e+22,6.55e+22,158000,167000,1.032e+06,0.3,protostellar,0,0,0
152,182903.7-013303,0.033,0.04,0.31,0.26,9.8,1.7,4.3e+21,2.2e+21,3.3e+21,23000,12000,22000,2.1,prestellar,0,1,0
153,182903.8-014244,0.036,0.042,1.07,0.25,10.3,0.5,1.62e+22,7e+21,1e+22,85000,36000,61000,0.7,prestellar,0,0,0
154,182905.1-021453,0.036,0.045,0.16,0.08,11.5,4.5,1.7e+21,9e+20,1.4e+21,9000,5000,9000,4.5,starless,1,0,0
155,182905.5-014153,0.015,0.028,1.2,0.32,15.6,2.6,2.55e+22,1.87e+22,6.41e+22,160000,149000,944000,0.2,protostellar,0,0,0
156,182906.0-013626,0.085,0.088,0.56,0.28,11.5,4.5,2.7e+21,9e+20,9e+20,9000,2000,2000,3,starless,1,0,0
157,182906.1-034251,0.025,0.035,1.21,0.61,11.5,4.5,2.08e+22,1.15e+22,2.28e+22,119000,71000,199000,0.4,protostellar,1,0,0
158,182906.5-020557,0.011,0.024,1.18,0.47,9.4,0.8,1.99e+22,2.46e+22,1.065e+23,131000,226000,2.036e+06,0.2,prestellar,0,0,0
159,182906.8-014726,0.041,0.049,0.63,0.23,10.3,0.9,8.9e+21,3.1e+21,4.5e+21,43000,14000,24000,1.3,prestellar,0,0,0
160,182907.3-034324,0.013,0.026,1.79,0.13,11.6,0.2,3.43e+22,3.25e+22,1.208e+23,221000,279000,1.996e+06,0.1,protostellar,0,0,0
161,182907.6-014613,0.019,0.03,0.05,0.02,11.5,4.5,8e+20,6e+20,1.6e+21,5000,5000,18000,7.8,starless,1,0,0
162,182908.3-020528,0.055,0.06,3.1,0.33,13.1,0.4,3.03e+22,1.01e+22,1.2e+22,127000,37000,48000,0.4,prestellar,0,0,0
163,182908.3-013046,0.014,0.026,2.28,0.36,13.7,1,3.94e+22,4.02e+22,1.414e+23,253000,340000,2.241e+06,0.1,protostellar,0,0,0
164,182908.9-015122,0.042,0.049,0.23,0.12,11.5,4.5,2.3e+21,1.2e+21,1.6e+21,11000,5000,8000,3.5,prestellar,1,1,0
165,182909.1-015401,0.029,0.041,0.16,0.08,11.5,4.5,2e+21,1.2e+21,2.3e+21,11000,6000,17000,3.5,prestellar,1,1,0
166,182909.9-030521,0.063,0.068,0.48,0.3,12.8,2.1,3.2e+21,1.2e+21,1.4e+21,12000,4000,5000,2.6,prestellar,0,1,0
167,182910.0-013445,0.051,0.056,0.37,0.18,11.5,4.5,3.1e+21,1.4e+21,1.7e+21,14000,6000,7000,2.7,prestellar,1,1,0
168,182911.3-014441,0.05,0.056,0.33,0.17,11.5,4.5,3.1e+21,1.2e+21,1.5e+21,14000,5000,7000,3,prestellar,1,1,0
169,182911.4-013103,0.03,0.038,0.42,0.21,11.5,4.5,4.9e+21,3.5e+21,5.6e+21,27000,20000,40000,1.4,prestellar,1,0,0
170,182911.5-034316,0.027,0.038,0.97,0.33,8.9,0.7,2.08e+22,8e+21,1.52e+22,115000,46000,122000,0.6,prestellar,0,0,0
171,182912.6-014618,0.031,0.039,1.32,0.21,10,0.4,2.84e+22,1.03e+22,1.59e+22,155000,58000,111000,0.5,protostellar,0,0,0
172,182912.7-014321,0.025,0.035,0.05,0.06,13.8,3.4,1.8e+21,4e+20,9e+20,10000,3000,7000,10.6,starless,0,0,0
173,182913.0-030516,0.02,0.032,0.04,0.02,13.2,1.5,5e+20,4e+20,1.1e+21,3000,3000,12000,10.8,starless,0,0,0
174,182913.1-020351,0.018,0.03,0.34,0.07,18.5,4.4,4.5e+21,4.4e+21,1.26e+22,27000,32000,155000,1,protostellar,0,0,0
175,182913.8-015334,0.014,0.026,0.06,0.03,11.5,4.5,9e+20,1e+21,3.4e+21,6000,8000,53000,5,starless,1,0,0
176,182913.9-011742,0.043,0.051,0.81,0.3,9.5,0.7,8.5e+21,3.7e+21,5.3e+21,40000,16000,27000,1,prestellar,0,0,0
177,182914.8-014950,0.041,0.048,0.66,0.17,10.4,0.6,5.5e+21,3.3e+21,4.7e+21,27000,15000,25000,1.2,prestellar,0,0,0
178,182915.1-034305,0.021,0.032,0.09,0.04,11.5,4.5,1.2e+21,1e+21,2.5e+21,7000,7000,26000,4.6,starless,1,0,0
179,182915.1-011147,0.081,0.084,0.45,0.27,13.8,2.4,2.5e+21,8e+20,8e+20,8000,2000,2000,3.5,starless,0,0,0
180,182916.6-015040,0.034,0.041,0.45,0.12,10.3,0.7,1.09e+22,3.1e+21,4.7e+21,58000,16000,31000,1.5,prestellar,0,0,0
181,182916.8-013020,0.019,0.03,0.09,0.04,11.5,4.5,1.4e+21,1.1e+21,2.8e+21,8000,8000,32000,4.3,prestellar,1,1,0
182,182917.3-020338,0.019,0.03,0.55,0.16,10.6,0.7,1.04e+22,7.2e+21,1.77e+22,64000,53000,202000,0.7,prestellar,0,0,0
183,182918.0-011527,0.057,0.062,0.4,0.17,12.5,1.5,3.3e+21,1.3e+21,1.5e+21,14000,4000,6000,2.8,prestellar,0,1,0
184,182918.7-033846,0.045,0.052,0.21,0.11,11.5,4.5,1.9e+21,9e+20,1.2e+21,9000,4000,6000,4.2,starless,1,0,0
185,182918.7-034503,0.033,0.041,2.16,0.58,8,0.5,3.28e+22,1.56e+22,2.34e+22,176000,84000,155000,0.3,prestellar,0,0,0
186,182918.7-013303,0.021,0.032,0.07,0.04,11.5,4.5,1.2e+21,9e+20,2e+21,7000,6000,22000,5.5,starless,1,0,0
187,182919.0-022253,0.048,0.053,0.09,0.05,14.5,4.5,1.6e+21,4e+20,5e+20,7000,2000,2000,10.1,starless,1,0,0
188,182919.2-034254,0.021,0.034,0.17,0.11,11,1.6,3.3e+21,1.7e+21,4.4e+21,19000,11000,46000,2.5,prestellar,0,1,0
189,182919.4-015303,0.083,0.087,3.15,0.83,9,0.5,1.12e+22,5e+21,5.4e+21,36000,13000,14000,0.5,prestellar,0,0,0
190,182919.8-020127,0.022,0.034,0.09,0.08,13.1,3,1.4e+21,9e+20,2.1e+21,8000,6000,20000,5,starless,0,0,0
191,182920.0-015343,0.045,0.052,0.42,0.2,11,1.1,4.8e+21,1.8e+21,2.5e+21,22000,8000,12000,2.1,prestellar,0,1,0
192,182920.1-013618,0.032,0.04,1.65,0.34,8.7,0.4,2.4e+22,1.23e+22,1.88e+22,129000,67000,128000,0.4,prestellar,0,0,0
193,182920.4-025526,0.051,0.056,0.21,0.11,11.5,4.5,1.8e+21,8e+20,1e+21,8000,3000,4000,4.7,starless,1,0,0
194,182920.7-013644,0.02,0.03,0.53,0.15,10,0.6,1.59e+22,6.9e+21,1.64e+22,97000,50000,183000,0.7,prestellar,0,0,0
195,182921.0-015754,0.054,0.059,1.22,0.32,10.6,0.7,1.85e+22,4.2e+21,4.9e+21,79000,16000,20000,0.9,prestellar,0,0,0
196,182921.1-013712,0.017,0.029,0.32,0.06,11.3,0.5,6.9e+21,4.4e+21,1.24e+22,43000,33000,156000,1.1,protostellar,0,0,0
197,182921.1-020048,0.056,0.061,0.53,0.19,11.8,0.8,3.2e+21,1.7e+21,2e+21,13000,6000,8000,2.1,prestellar,0,1,0
198,182921.2-013437,0.032,0.045,0.48,0.24,11.5,4.5,4.8e+21,2.8e+21,5.5e+21,24000,14000,37000,1.3,prestellar,1,0,0
199,182922.0-042510,0.026,0.035,0.17,0.71,12.1,1.5,6.3e+21,1.7e+21,3e+21,37000,11000,26000,3,prestellar,0,1,0
200,182922.2-015558,0.023,0.033,0.3,0.11,10.7,0.8,8.1e+21,3.3e+21,6.8e+21,48000,22000,65000,1.5,prestellar,0,0,0
201,182922.5-030248,0.029,0.039,0.72,0.34,8.9,1,9.5e+21,5.5e+21,1.03e+22,51000,30000,79000,0.8,prestellar,0,0,0
202,182923.6-013854,0.014,0.026,0.71,0.11,11.9,0.8,1.19e+22,1.27e+22,4.17e+22,77000,108000,645000,0.4,protostellar,0,0,0
203,182923.7-011708,0.04,0.046,0.13,0.07,11.5,4.5,1.6e+21,7e+20,1e+21,8000,3000,5000,6.1,starless,1,0,0
204,182923.9-013956,0.052,0.057,0.37,0.18,11.5,4.5,3.6e+21,1.4e+21,1.6e+21,16000,5000,7000,2.8,prestellar,1,1,0
205,182924.1-043934,0.035,0.042,0.53,0.23,9.6,0.9,7.2e+21,3.6e+21,5.3e+21,38000,19000,33000,1.3,prestellar,0,0,0
206,182924.4-042554,0.023,0.033,0.06,0.03,11.5,4.5,8e+20,7e+20,1.5e+21,5000,5000,14000,7,starless,1,0,0
207,182924.6-015818,0.032,0.04,0.85,0.25,10.2,0.7,1.28e+22,6.2e+21,9.9e+21,69000,34000,68000,0.7,prestellar,0,0,0
208,182925.4-014605,0.046,0.052,0.24,0.12,11.5,4.5,2.7e+21,1e+21,1.4e+21,13000,4000,6000,3.8,starless,1,0,0
209,182925.5-014731,0.024,0.034,0.11,0.02,14.2,0.6,3.1e+21,1.1e+21,2.2e+21,18000,7000,19000,4.4,protostellar,0,0,0
210,182925.9-030924,0.03,0.04,0.11,0.04,14.3,1,1.4e+21,8e+20,1.5e+21,8000,5000,11000,5.2,starless,0,0,0
211,182926.4-034452,0.032,0.039,1.36,0.32,9.5,0.5,2.06e+22,1.04e+22,1.61e+22,112000,58000,111000,0.5,prestellar,0,0,0
212,182926.4-014940,0.022,0.034,0.8,0.35,8.7,0.8,2.08e+22,8.2e+21,1.91e+22,121000,53000,189000,0.6,prestellar,0,0,0
213,182926.7-034343,0.023,0.036,1.09,0.51,8.1,0.8,1.72e+22,9.7e+21,2.39e+22,97000,59000,226000,0.4,prestellar,0,0,0
214,182926.9-014641,0.011,0.023,0.04,0.04,13.2,3.3,1.4e+21,8e+20,3.3e+21,9000,8000,63000,6.2,starless,0,0,0
215,182927.9-015237,0.023,0.035,0.07,0.04,11.5,4.5,1.1e+21,7e+20,1.6e+21,6000,5000,15000,6.3,starless,1,0,0
216,182928.1-014413,0.018,0.03,0.09,0.05,11.5,4.5,1.2e+21,1.2e+21,3.4e+21,7000,8000,41000,3.9,prestellar,1,1,0
217,182928.3-024920,0.11,0.11,1.39,0.42,12.5,1.1,4.8e+21,1.4e+21,1.5e+21,13000,3000,3000,1.5,prestellar,0,0,0
218,182929.2-014501,0.041,0.047,0.14,0.07,11.5,4.5,2.5e+21,7e+20,1e+21,12000,3000,5000,5.9,starless,1,0,0
219,182929.9-034239,0.029,0.038,0.53,0.35,8.5,1.1,7.4e+21,4.5e+21,7.7e+21,41000,26000,59000,1.1,prestellar,0,0,0
220,182930.3-014929,0.035,0.042,0.2,0.1,11.5,4.5,3.6e+21,1.4e+21,2e+21,19000,7000,12000,3.4,prestellar,1,1,0
221,182931.0-014006,0.029,0.037,1.02,0.28,8.8,0.5,1.85e+22,8.8e+21,1.47e+22,103000,52000,112000,0.6,prestellar,0,0,0
222,182931.1-014401,0.032,0.044,0.43,0.19,10.1,1,7.2e+21,2.7e+21,4.9e+21,37000,13000,33000,1.5,prestellar,0,0,0
223,182931.4-014834,0.058,0.064,1.26,0.46,10.6,1,1.76e+22,3.6e+21,4.5e+21,71000,12000,17000,0.9,prestellar,0,0,0
224,182933.6-025547,0.064,0.068,0.46,0.15,13.2,1.2,4.1e+21,1.2e+21,1.3e+21,16000,4000,5000,2.7,prestellar,0,1,0
225,182933.8-015055,0.023,0.035,1.13,0.52,8.4,0.8,7.7e+21,1.13e+22,2.48e+22,45000,71000,233000,0.4,prestellar,0,0,0
226,182934.3-014240,0.054,0.059,0.28,0.14,11.5,4.5,2.6e+21,9e+20,1.1e+21,11000,3000,4000,3.9,starless,1,0,0
227,182934.3-014328,0.026,0.035,0.16,0.08,11.5,4.5,2.3e+21,1.5e+21,2.7e+21,13000,9000,23000,3.3,prestellar,1,1,0
228,182934.4-014545,0.051,0.056,0.52,0.26,11.5,4.5,4.8e+21,2e+21,2.4e+21,21000,8000,10000,1.9,prestellar,1,0,0
229,182934.4-021435,0.021,0.032,0.03,0.01,11.5,4.5,7e+20,3e+20,7e+20,4000,2000,8000,15.1,starless,1,0,0
230,182935.5-023320,0.05,0.055,0.16,0.1,16.3,3.6,1.5e+21,6e+20,8e+20,7000,3000,3000,6.1,starless,0,0,0
231,182935.7-015638,0.015,0.027,0.09,0.04,11.5,4.5,1.2e+21,1.4e+21,4.3e+21,8000,11000,61000,3.6,prestellar,1,1,0
232,182935.8-034416,0.036,0.043,0.16,0.1,12.4,2,2.6e+21,1e+21,1.5e+21,13000,5000,9000,4.3,starless,0,0,0
233,182936.2-034519,0.062,0.067,0.26,0.11,13,1.5,2.9e+21,7e+20,8e+20,11000,2000,3000,4.7,starless,0,0,0
234,182936.3-012542,0.031,0.04,0.28,0.2,10.3,2,4.4e+21,2.1e+21,3.4e+21,24000,11000,24000,2.2,prestellar,0,1,0
235,182936.5-014634,0.011,0.023,0.06,0.03,11.5,4.5,2.5e+21,1.3e+21,5.2e+21,17000,12000,99000,3.9,prestellar,1,1,0
236,182937.2-015559,0.02,0.031,0.05,0.02,11.5,4.5,9e+20,6e+20,1.5e+21,5000,4000,17000,7.9,starless,1,0,0
237,182937.4-014856,0.022,0.034,0.32,0.21,10.1,1.5,9.2e+21,3.2e+21,8e+21,53000,21000,81000,1.3,prestellar,0,0,0
238,182937.4-021345,0.02,0.03,0.07,0.03,11.5,4.5,8.1e+21,9e+20,2.2e+21,49000,6000,24000,5.5,starless,1,0,0
239,182938.0-015058,0.017,0.029,3.2,0.58,12.8,1.6,4.56e+22,4.51e+22,1.283e+23,282000,341000,1.634e+06,0.1,prestellar,0,0,0
240,182939.2-014602,0.079,0.082,1.36,0.68,11.5,4.5,5.2e+21,2.4e+21,2.6e+21,17000,6000,7000,1.1,prestellar,1,0,0
241,182941.1-020147,0.031,0.039,0.32,0.15,10.4,1.3,8.2e+21,2.4e+21,3.9e+21,44000,13000,28000,1.9,prestellar,0,0,0
242,182941.1-021339,0.018,0.029,0.4,0.71,9.1,0.8,6.2e+21,5.5e+21,1.4e+22,39000,41000,166000,0.9,prestellar,0,0,0
243,182941.2-015327,0.029,0.043,1.36,0.61,8.5,0.9,6.1e+21,8.7e+21,1.91e+22,32000,45000,144000,0.4,prestellar,0,0,0
244,182941.3-031405,0.023,0.035,0.13,0.06,11.5,4.5,1.5e+21,1.2e+21,2.7e+21,9000,8000,25000,3.7,prestellar,1,1,0
245,182941.4-013413,0.056,0.061,1.31,0.52,10.4,1,9.5e+21,4.1e+21,5e+21,39000,15000,19000,0.8,prestellar,0,0,0
246,182942.0-013321,0.028,0.037,0.53,0.17,10.1,0.7,1.04e+22,4.7e+21,7.9e+21,59000,28000,61000,1,prestellar,0,0,0
247,182942.1-015007,0.028,0.038,7.55,1.31,8,0.3,1.215e+23,6.13e+22,1.118e+23,670000,351000,865000,0.1,prestellar,0,0,0
248,182942.2-031954,0.029,0.039,0.09,0.05,11.5,4.5,1e+21,7e+20,1.3e+21,6000,4000,9000,6.4,starless,1,0,0
249,182943.0-020039,0.018,0.029,0.02,0.01,16,2.6,6e+20,2e+20,6e+20,3000,2000,8000,21.2,starless,0,0,0
250,182943.4-015649,0.015,0.026,0.17,0.02,14.6,0.5,5.2e+21,2.8e+21,9.1e+21,33000,24000,135000,1.8,protostellar,0,0,0
251,182943.8-021256,0.017,0.029,0.85,0.43,11.5,4.5,2.04e+22,1.18e+22,3.61e+22,126000,88000,473000,0.4,protostellar,1,0,0
252,182944.0-015713,0.02,0.031,0.32,0.08,11.2,0.6,6.4e+21,4e+21,9.7e+21,38000,28000,108000,1.2,prestellar,0,0,0
253,182944.1-024254,0.029,0.037,0.36,0.16,9.4,0.9,5.3e+21,3.1e+21,5.1e+21,30000,18000,39000,1.6,prestellar,0,0,0
254,182944.9-015457,0.018,0.029,0.1,0.05,11.5,4.5,3.4e+21,1.4e+21,3.8e+21,21000,10000,47000,3.6,prestellar,1,1,0
255,182945.5-013523,0.019,0.03,0.3,0.15,11.5,4.5,3.2e+21,4e+21,9.5e+21,20000,29000,107000,1.3,prestellar,1,0,0
256,182946.1-015248,0.037,0.044,1.13,0.61,7.6,0.8,1.47e+22,6.8e+21,9.6e+21,75000,33000,57000,0.7,prestellar,0,0,0
257,182946.7-020135,0.041,0.049,0.29,0.15,11.5,4.5,3.1e+21,1.5e+21,2.1e+21,15000,7000,11000,2.8,prestellar,1,1,0
258,182946.7-021219,0.022,0.035,0.35,0.21,10.3,1.6,9.6e+21,3.4e+21,8.1e+21,56000,22000,79000,1.3,prestellar,0,0,0
259,182946.8-020653,0.035,0.042,1.59,0.19,11.9,0.3,1.82e+22,1.08e+22,1.55e+22,96000,57000,98000,0.4,prestellar,0,0,0
260,182947.0-031303,0.03,0.04,0.14,0.07,11.5,4.5,3e+21,1e+21,1.9e+21,16000,6000,14000,4.2,starless,1,0,0
261,182947.4-015324,0.032,0.044,2.38,1.13,7.8,0.7,6.3e+21,1.47e+22,2.78e+22,32000,74000,191000,0.3,prestellar,0,0,0
262,182947.4-013447,0.015,0.026,0.1,0.05,11.5,4.5,1.4e+21,1.8e+21,5.5e+21,9000,15000,81000,2.9,prestellar,1,1,0
263,182948.3-013555,0.024,0.035,0.38,0.19,11.5,4.5,5e+21,3.7e+21,8e+21,29000,23000,74000,1.2,prestellar,1,0,0
264,182948.8-014735,0.055,0.059,2.53,0.55,10.3,0.6,2.95e+22,8.5e+21,1.01e+22,126000,31000,40000,0.4,prestellar,0,0,0
265,182949.2-015819,0.021,0.032,0.18,0.09,11.5,4.5,7.8e+21,2.1e+21,4.8e+21,47000,15000,50000,2.3,prestellar,1,1,0
266,182949.6-015453,0.031,0.041,0.73,0.37,11.5,4.5,6.1e+21,5.2e+21,9e+21,32000,27000,63000,0.8,prestellar,1,0,0
267,182949.9-013647,0.036,0.043,0.65,0.32,11.5,4.5,6.7e+21,4.1e+21,5.9e+21,35000,21000,35000,1.1,prestellar,1,0,0
268,182950.5-021239,0.015,0.027,0.06,0.03,11.5,4.5,1.1e+21,1e+21,3.1e+21,7000,8000,44000,5,starless,1,0,0
269,182950.7-014313,0.044,0.051,1.01,0.51,11.5,4.5,6.4e+21,4.5e+21,6.1e+21,30000,19000,30000,0.9,prestellar,1,0,0
270,182952.1-015613,0.019,0.031,0.64,0.46,8.8,1.3,1.23e+22,8.1e+21,2.14e+22,74000,59000,250000,0.6,prestellar,0,0,0
271,182953.0-015804,0.022,0.033,0.58,1.65,10.9,1.2,2.33e+22,6.2e+21,1.42e+22,137000,41000,141000,0.8,protostellar,0,0,0
272,182953.2-020626,0.032,0.04,0.44,0.37,9.7,1.6,9.1e+21,3.2e+21,5.1e+21,49000,18000,34000,1.4,prestellar,0,0,0
273,182953.7-020653,0.016,0.029,0.26,0.21,9.6,1.3,8.5e+21,3.7e+21,1.14e+22,53000,28000,151000,1.2,prestellar,0,0,0
274,182953.8-013706,0.02,0.031,0.09,0.04,11.5,4.5,3e+21,1.1e+21,2.5e+21,18000,7000,27000,4.6,starless,1,0,0
275,182954.1-020727,0.018,0.029,0.12,0.06,11.5,4.5,7.6e+21,1.7e+21,4.3e+21,47000,13000,52000,3,prestellar,1,1,0
276,182954.1-014734,0.052,0.058,0.73,0.36,11.5,4.5,6.2e+21,2.6e+21,3.2e+21,27000,10000,13000,1.4,prestellar,1,0,0
277,182954.3-024902,0.029,0.041,0.16,0.1,11.1,1.7,3.6e+21,1.1e+21,2.3e+21,19000,6000,17000,3.6,prestellar,0,1,0
278,182955.6-020025,0.012,0.025,0.17,0.09,11.5,4.5,3e+21,3.4e+21,1.36e+22,19000,30000,242000,1.4,prestellar,1,0,0
279,182956.8-015345,0.017,0.028,0.06,0.03,11.5,4.5,8.3e+21,8e+20,2.2e+21,52000,7000,29000,6.1,starless,1,0,0
280,182957.5-015843,0.054,0.059,19.7,2.52,8.2,0.2,1.503e+23,6.8e+22,8.05e+22,645000,254000,328000,0.1,prestellar,0,0,0
281,182957.7-015758,0.016,0.029,5.16,0.92,8.3,0.3,3.03e+22,7.54e+22,2.356e+23,188000,579000,3.202e+06,0.1,prestellar,0,0,0
282,182958.0-021101,0.025,0.038,0.18,0.06,14.3,1,9e+21,1.5e+21,3.5e+21,50000,8000,30000,2.7,prestellar,0,1,0
283,182958.2-020115,0.023,0.033,1.63,0.35,11.2,0.5,3.21e+22,1.78e+22,3.58e+22,189000,118000,337000,0.3,prestellar,0,0,0
284,182958.6-020822,0.046,0.051,6.27,2.23,7.6,0.5,3.27e+22,2.81e+22,3.58e+22,153000,120000,172000,0.1,prestellar,0,0,0
285,182959.6-020058,0.013,0.026,0.73,4.54,11.5,1.6,2.78e+22,1.25e+22,4.82e+22,178000,105000,791000,0.4,protostellar,0,0,0
286,183000.4-013703,0.026,0.039,1.04,0.7,8.3,1,5e+21,8.2e+21,1.9e+22,27000,46000,162000,0.5,prestellar,0,0,0
287,183000.5-014559,0.04,0.048,0.31,0.15,11.5,4.5,3e+21,1.6e+21,2.3e+21,15000,7000,13000,2.6,prestellar,1,1,0
288,183000.7-015958,0.019,0.029,0.29,0.15,11.5,4.5,1.61e+22,4e+21,1.01e+22,99000,30000,120000,1.3,prestellar,1,0,0
289,183000.8-020657,0.018,0.03,1.01,0.16,10.2,0.3,2.33e+22,1.31e+22,3.6e+22,142000,95000,433000,0.4,protostellar,0,0,0
290,183001.2-020609,0.019,0.03,0.32,0.07,17.6,1.8,7.7e+21,4.1e+21,1.08e+22,47000,30000,126000,1.2,protostellar,0,0,0
291,183001.5-020530,0.018,0.029,0.27,0.13,11.5,4.5,2.01e+22,3.9e+21,1.03e+22,125000,30000,127000,1.3,prestellar,1,0,0
292,183001.5-021025,0.013,0.025,1.08,0.3,16.5,3.5,2.26e+22,2.02e+22,7.27e+22,147000,176000,1.202e+06,0.2,protostellar,0,0,0
293,183002.1-020815,0.02,0.031,3.33,1.13,7.6,0.4,5.7e+22,4.16e+22,9.77e+22,345000,295000,1.063e+06,0.1,prestellar,0,0,0
294,183002.7-020103,0.023,0.033,4.94,1.09,10.3,0.9,8.28e+22,5.29e+22,1.157e+23,486000,348000,1.126e+06,0.1,prestellar,0,0,0
295,183003.3-024830,0.073,0.077,4.75,1.77,8.4,0.8,2.49e+22,9.5e+21,1.05e+22,88000,27000,32000,0.3,prestellar,0,0,0
296,183003.4-014856,0.026,0.035,1.11,0.38,8.1,0.5,2.07e+22,1.09e+22,2.01e+22,119000,69000,172000,0.5,prestellar,0,0,0
297,183003.6-013629,0.019,0.031,0.8,0.17,10.7,0.5,1.7e+22,9.8e+21,2.7e+22,102000,69000,316000,0.5,protostellar,0,0,0
